node,x,y
974,-814.064514,1224.451416
6152,-520.572693,-1715.971558
5624,625.741760,-1621.781250
3420,-608.905396,516.214050
3671,629.104919,-1164.717407
2974,-790.379150,1062.740967
4303,-274.495972,-102.000008
2443,-494.729431,546.645264
2114,-537.270325,571.835022
5815,-808.734731,808.621761
1140,-673.161194,803.535400
5042,-638.284790,800.477783
5769,-831.592773,1026.040161
4271,-544.555471,609.191858
2365,-603.227539,805.005127
1496,-931.599243,-905.104614
3612,-1046.387451,-953.564209
2224,1078.328003,-1155.620117
2346,1065.816284,-390.519104
4788,1106.064087,-1161.836914
4114,962.788879,-639.767578
1457,-1671.420776,-537.948792
3270,-787.804688,-1495.291260
1820,306.396301,1099.145020
6166,1014.039795,-1084.632690
653,893.037720,-1198.301514
1697,1075.422485,-591.136353
4759,873.983521,-722.020508
1890,590.731750,188.871185
61,-39.570053,227.172653
1916,344.440129,-432.984710
48,-1270.656250,-92.789818
705,-1546.526489,55.934708
4675,-1270.656250,-92.789818
1100,244.486002,-348.222532
989,-223.220276,-1406.955322
1477,836.463135,-1491.380859
1575,307.362427,66.127777
4357,307.140137,49.419479
2319,485.761536,99.781105
3407,-221.186157,-0.004082
2766,173.130142,-97.705742
25,1193.956543,-486.983337
3949,706.292175,-1335.667236
4010,-347.179474,1237.496216
1346,-55.948001,-275.923306
2455,808.414246,-977.144592
4145,628.357605,-693.086304
4626,349.036621,-336.166595
3254,1225.596069,-1118.217651
1291,558.697205,20.627544
201,843.160156,513.638367
3688,334.742188,248.166656
547,1085.859741,835.165039
3656,621.363159,368.017426
3934,685.701599,484.726990
2593,-1095.273560,529.058350
1201,-469.957428,989.398926
1418,-938.923340,948.297974
3405,-1210.199219,704.078552
6171,-598.545349,1219.263916
492,-511.719910,1000.773071
4090,-1122.506592,319.338196
4507,248.960022,686.550903
3326,-933.409790,357.823242
1756,-998.361816,436.377075
549,627.212708,112.278320
3167,-1427.178039,38.813063
5436,-638.619031,-940.934977
6217,-913.287903,558.110718
4772,-525.370874,728.127690
1956,-645.870422,1085.022949
3640,-333.808685,-186.109573
324,-1490.824707,-909.101562
5846,1553.990356,-116.864731
4294,742.461548,329.083832
3153,376.302734,-757.761047
2574,372.038483,1356.847534
3558,235.217865,1016.015503
5694,-844.031433,960.358643
1874,-696.981140,1118.932983
1166,567.585999,-1384.095093
1177,1207.956665,652.744385
3337,-86.812325,-86.111488
3371,-634.383057,118.682083
840,-62.424316,1092.031616
480,102.140334,251.077578
1107,-789.227783,-1103.673828
5264,-258.448884,175.036799
6137,-1016.561157,-1240.069458
1933,-1129.494629,-881.242493
5182,1090.269936,-760.843486
5556,-510.104553,1074.755371
5865,1044.850586,395.423340
2049,-168.592621,-1172.698242
4329,-300.882904,-348.645691
6114,-694.208250,370.845475
2420,-546.439261,223.377095
64,812.798157,476.423126
4514,986.992804,-507.400053
1467,86.537086,-96.268539
2342,440.106110,-1010.962036
1148,-909.419556,-1439.676880
1644,-756.387390,-1108.019531
4547,-1092.135620,-892.205322
2651,-1214.681606,-107.969366
6122,-1085.098389,977.587280
3297,-944.648254,690.702942
4623,-1123.665283,629.273438
3567,-1076.615234,890.899048
2280,125.041107,-890.808167
1392,1056.650635,-1019.944336
799,1387.698853,-203.250580
4176,-712.264893,-1526.933228
454,-775.869446,149.892838
926,572.364563,257.462280
267,-1126.390869,-1408.605225
4136,1295.803833,155.994370
5017,247.907349,-523.527283
1769,-802.298911,-1104.452024
2909,-426.815033,-1182.883545
2010,469.672796,62.584526
1428,961.422119,841.445312
2633,-1013.940674,-63.296310
5683,1180.350098,885.286255
1295,-246.846222,-1734.503784
174,-804.096741,-1540.223389
